Student_ID,Age,Gender,Nationality,Program,Major_Specialization,Year_of_Study,Enrollment_Type,GPA,High_School_GPA,SAT_Score,Credits_Completed,Credits_This_Semester,Scholarship_Status,Scholarship_Amount,Accommodation_Type,Distance_From_Campus_km,Attendance_Rate,Study_Hours_Per_Week,Part_Time_Job,Weekly_Work_Hours,Internship_Completed,Internship_Count,Clubs_Joined,Leadership_Role,Online_Courses_Taken,Research_Participation,Publications_Count,Exchange_Program,English_Proficiency_Score,Financial_Aid,Family_Income,Parental_Education_Level,Health_Insurance,Mental_Health_Support_Used,Academic_Probation,Dropout_Risk_Score,Graduation_Expected_Year,Employment_Offer,Starting_Salary_Offer
463,31,Female,Brazil,Physics,Robotics,2,FullTime,2.07,4.0,1389,144,16,No,0,WithFamily,48.0,90.9,23,No,12,No,4,7,Yes,13,No,3,Yes,67.0,No,58341.0,HighSchool,No,No,No,0.782,2032,Yes,
464,30,Male,Australia,Computer Science,Data Science,3,PartTime,3.31,3.6,1306,143,11,Yes,31341,OnCampus,1.9,,,Yes,3,No,0,4,Yes,10,Yes,2,No,82.0,Yes,50920.0,Bachelor,Yes,No,No,0.439,2034,No,
465,31,Female,USA,Economics,Cybersecurity,5,FullTime,2.16,2.93,1553,17,9,No,0,WithFamily,25.4,72.4,43,No,26,No,4,4,No,0,No,1,No,75.0,No,197827.0,HighSchool,Yes,No,No,0.763,2034,Yes,126212
466,20,Male,Canada,AI,Robotics,3,FullTime,3.03,2.53,1249,32,15,No,0,WithFamily,25.5,81.8,32,No,19,No,0,3,Yes,6,Yes,2,No,92.0,No,,PhD,No,No,No,0.275,2027,Yes,132125
467,22,Female,Canada,Business,Statistics,2,PartTime,3.4,3.6,1239,149,11,Yes,47617,OffCampus,25.4,98.4,8,No,26,Yes,1,3,No,3,Yes,2,Yes,92.0,Yes,148178.0,HighSchool,Yes,No,No,1.0,2029,Yes,108345
468,19,Male,UAE,Mathematics,Statistics,5,FullTime,2.72,2.84,1595,7,19,Yes,19518,OnCampus,25.9,,36,Yes,15,Yes,2,6,No,11,Yes,1,No,70.0,No,82272.0,PhD,Yes,No,No,0.803,2033,Yes,108291
469,30,Male,China,Physics,Robotics,5,FullTime,3.28,,1379,65,20,Yes,47113,WithFamily,25.0,92.9,42,No,,No,3,1,No,3,No,3,No,93.0,No,,PhD,Yes,No,No,0.858,2030,Yes,127444
470,26,Male,USA,Mathematics,Statistics,4,PartTime,4.0,3.6,,122,14,No,0,WithFamily,41.2,95.1,31,Yes,26,Yes,4,3,No,14,Yes,0,Yes,74.0,Yes,105080.0,PhD,No,Yes,Yes,0.496,2029,No,0
471,26,Male,France,AI,Robotics,1,PartTime,2.53,3.26,1115,170,15,Yes,7587,OnCampus,22.6,64.5,43,Yes,1,No,4,1,No,4,Yes,2,No,63.0,Yes,98832.0,Bachelor,No,No,No,0.968,2031,Yes,105610
472,21,Female,UK,Mathematics,Data Science,2,PartTime,2.2,3.45,1416,61,15,No,0,OnCampus,49.6,96.7,17,No,2,No,4,3,Yes,10,No,1,Yes,,Yes,141319.0,Master,No,Yes,No,0.495,2031,No,0
473,26,Female,Germany,Engineering,Data Science,4,PartTime,3.12,3.04,1050,129,18,No,0,OnCampus,47.9,91.6,28,Yes,13,No,3,6,No,0,Yes,2,No,106.0,Yes,112031.0,PhD,No,Yes,No,0.749,2031,Yes,148401
474,23,Male,Germany,Physics,Robotics,4,PartTime,3.87,3.5,1509,131,13,Yes,45543,WithFamily,49.4,,48,No,18,Yes,4,5,No,1,No,3,Yes,70.0,Yes,33973.0,Bachelor,Yes,No,No,0.055,2028,No,0
475,22,Female,China,Business,Data Science,3,FullTime,3.14,2.56,1131,2,13,Yes,,WithFamily,10.4,79.8,38,Yes,,No,2,2,No,6,Yes,2,Yes,74.0,Yes,142828.0,Bachelor,Yes,No,No,0.285,2032,Yes,99837
476,24,Male,France,Economics,Data Science,2,PartTime,3.6,3.07,985,46,17,No,0,OnCampus,13.4,61.1,11,No,12,Yes,2,7,Yes,7,Yes,3,No,107.0,No,82562.0,HighSchool,Yes,Yes,No,0.619,2030,No,0
477,34,Female,UAE,Physics,Marketing,3,PartTime,3.23,3.16,1148,124,18,No,0,OnCampus,24.6,66.6,26,No,,No,3,7,Yes,1,No,3,No,74.0,Yes,,Bachelor,Yes,Yes,No,0.342,2031,No,
478,20,Female,India,Economics,Data Science,4,PartTime,2.12,2.53,1200,16,10,No,0,OffCampus,26.3,99.4,9,No,9,Yes,3,7,Yes,7,No,2,No,90.0,Yes,106410.0,PhD,Yes,No,No,0.9,2029,Yes,4001
479,20,Female,USA,Mathematics,Cybersecurity,2,PartTime,3.14,3.36,1299,172,16,No,0,WithFamily,10.0,92.7,42,No,0,Yes,2,0,No,13,No,0,No,99.0,Yes,31729.0,PhD,No,No,No,0.068,2029,Yes,81625
480,25,Male,France,Engineering,Cybersecurity,4,PartTime,3.35,2.62,1000,115,14,Yes,28221,WithFamily,20.8,100.0,46,No,29,Yes,2,0,Yes,12,Yes,2,No,103.0,Yes,265665.0,,Yes,No,No,0.983,2033,Yes,52505
481,20,Male,USA,Physics,Robotics,2,FullTime,3.51,3.32,1004,22,15,Yes,5289,WithFamily,47.9,64.8,23,No,24,Yes,0,3,Yes,12,Yes,2,Yes,71.0,Yes,217407.0,Bachelor,Yes,No,No,0.588,2030,No,0
482,29,Male,China,Computer Science,Marketing,3,FullTime,2.33,3.53,1552,102,20,No,0,WithFamily,41.4,88.5,49,Yes,21,No,1,3,No,1,No,3,Yes,89.0,No,234767.0,PhD,Yes,No,No,0.938,2028,Yes,94874
483,24,Male,Canada,Physics,Robotics,4,FullTime,3.79,3.67,1368,33,11,Yes,10086,WithFamily,46.7,99.1,32,Yes,9,No,1,1,No,14,Yes,0,No,86.0,Yes,251474.0,Bachelor,Yes,No,No,0.147,2034,Yes,142344
484,34,Female,USA,Mathematics,Finance,1,PartTime,2.47,3.83,1072,73,12,Yes,21075,WithFamily,4.6,77.3,31,No,,No,2,0,Yes,11,Yes,2,Yes,99.0,Yes,187534.0,Master,Yes,No,No,0.808,2034,No,0
485,18,Female,USA,Mathematics,Statistics,2,FullTime,3.44,,1150,160,16,Yes,47225,OffCampus,11.9,95.8,35,Yes,,Yes,2,1,Yes,12,No,1,Yes,63.0,No,159735.0,Bachelor,No,Yes,No,0.351,2029,Yes,66562
486,23,Female,India,Business,Finance,2,FullTime,3.0,3.71,1133,67,11,Yes,43448,WithFamily,,81.9,,Yes,28,Yes,2,4,No,12,Yes,1,Yes,90.0,No,24447.0,,Yes,No,No,0.715,2029,No,0
487,31,Female,Canada,Economics,Cybersecurity,2,PartTime,2.76,,1022,73,12,No,0,WithFamily,38.7,65.0,48,No,3,Yes,0,1,No,11,Yes,3,No,97.0,No,49776.0,Master,No,No,No,0.012,2026,No,0
488,21,Male,China,Computer Science,Marketing,1,FullTime,3.25,3.85,1288,116,13,No,0,OffCampus,38.0,69.3,34,No,0,No,0,0,No,4,Yes,1,Yes,69.0,No,261423.0,PhD,No,Yes,No,0.893,2033,No,0
489,31,Female,Australia,Computer Science,Marketing,2,PartTime,3.3,2.54,1326,129,10,No,,OffCampus,29.9,59.0,45,Yes,21,Yes,4,0,No,0,Yes,1,Yes,74.0,No,82625.0,Master,Yes,No,No,0.345,2027,Yes,124750
490,17,Female,Germany,Business,Data Science,5,PartTime,2.85,2.91,1431,34,13,No,0,OffCampus,29.8,96.3,34,Yes,,Yes,2,3,Yes,9,Yes,0,No,119.0,No,21098.0,PhD,No,No,No,0.24,2026,Yes,138863
491,26,Female,Canada,Physics,Data Science,2,FullTime,2.65,3.82,1500,94,19,No,0,OffCampus,25.4,85.0,14,No,23,No,0,2,Yes,11,Yes,3,Yes,107.0,Yes,,HighSchool,Yes,No,No,0.73,2030,Yes,10605
492,31,Female,UAE,Engineering,Cybersecurity,4,PartTime,3.09,3.92,1122,153,9,Yes,28233,WithFamily,6.6,72.5,35,No,21,Yes,3,0,No,10,No,3,No,,Yes,289095.0,HighSchool,No,No,No,0.711,2032,Yes,
493,22,Male,Brazil,AI,Cybersecurity,1,PartTime,2.39,4.0,935,69,17,No,0,OnCampus,47.0,91.6,40,No,,Yes,3,2,Yes,10,No,1,No,89.0,Yes,72195.0,Master,No,No,No,0.526,2031,No,0
494,25,Male,Germany,Engineering,Finance,5,PartTime,2.51,2.73,,156,11,Yes,46876,OffCampus,45.2,70.9,12,Yes,19,Yes,3,5,No,2,Yes,1,No,109.0,No,69510.0,PhD,No,No,No,0.576,2030,Yes,42506
495,32,Female,Brazil,Computer Science,Cybersecurity,2,FullTime,2.85,3.26,1276,58,13,No,0,OnCampus,7.5,97.2,15,Yes,20,Yes,4,1,No,10,Yes,2,Yes,91.0,Yes,211068.0,HighSchool,No,No,No,0.0,2026,Yes,67434
496,33,Male,China,Business,Marketing,2,FullTime,2.56,3.9,1138,56,10,No,0,OnCampus,0.6,90.0,30,Yes,28,No,4,3,Yes,6,Yes,3,No,90.0,No,260632.0,Master,No,No,No,0.803,2030,No,0
497,34,Male,Australia,Engineering,Finance,1,FullTime,3.53,4.0,1031,178,11,Yes,7600,OnCampus,9.7,68.2,24,No,15,Yes,4,0,No,3,No,3,Yes,114.0,No,277214.0,HighSchool,Yes,No,No,0.679,2033,No,0
498,24,Male,China,Business,Statistics,4,FullTime,4.0,2.66,1225,22,16,Yes,46097,OffCampus,37.9,97.5,11,Yes,15,No,4,1,No,10,No,1,Yes,89.0,Yes,298939.0,HighSchool,No,No,No,0.474,2034,Yes,80706
499,19,Male,India,Mathematics,Civil,2,PartTime,3.92,3.15,1114,143,11,Yes,40270,OffCampus,5.2,87.3,42,No,8,No,4,6,Yes,14,No,3,Yes,105.0,No,93948.0,Bachelor,Yes,No,No,0.237,2031,No,0
500,20,Male,UK,Economics,Civil,5,PartTime,3.81,3.45,1157,97,17,No,0,OnCampus,26.6,95.0,46,No,17,No,0,7,Yes,11,Yes,2,No,72.0,Yes,123492.0,PhD,No,Yes,No,0.949,2034,Yes,132488
501,22,Male,Brazil,Physics,Statistics,1,FullTime,2.49,2.69,1027,161,17,No,0,OnCampus,18.4,84.9,11,Yes,20,No,1,2,No,11,Yes,3,No,101.0,Yes,224122.0,PhD,Yes,No,No,0.936,2027,Yes,57856
502,28,Male,Brazil,Mathematics,Civil,4,PartTime,2.07,2.93,1419,91,13,No,0,OnCampus,35.2,90.3,39,Yes,8,Yes,0,3,Yes,3,Yes,2,No,70.0,Yes,223510.0,,No,No,No,0.273,2026,Yes,47978
503,22,Female,UAE,Engineering,Statistics,4,PartTime,2.97,2.83,1096,150,10,Yes,,OffCampus,9.5,83.2,29,Yes,21,Yes,1,7,No,9,Yes,0,No,72.0,Yes,66356.0,PhD,No,No,No,0.617,2032,Yes,88509
504,17,Female,USA,Mathematics,Finance,4,PartTime,3.59,3.9,1048,76,20,Yes,45666,OffCampus,15.9,66.1,,Yes,6,Yes,4,4,Yes,13,Yes,3,No,64.0,Yes,187793.0,PhD,Yes,No,No,0.566,2032,Yes,82896
505,22,Female,Brazil,AI,Civil,2,FullTime,2.99,,1577,174,10,Yes,20602,WithFamily,44.7,59.2,40,Yes,23,Yes,3,0,No,12,Yes,2,Yes,103.0,Yes,254643.0,PhD,Yes,No,No,0.766,2026,Yes,82835
506,31,Male,UAE,Business,Finance,1,PartTime,2.84,3.16,1547,178,11,No,0,OffCampus,6.0,75.0,16,No,17,No,1,0,No,8,No,3,No,94.0,No,255111.0,Bachelor,Yes,Yes,No,0.982,2026,Yes,27298
507,25,Female,UK,Computer Science,Civil,3,FullTime,2.02,2.6,1268,118,13,Yes,4930,WithFamily,19.4,74.2,27,Yes,28,No,2,0,No,7,Yes,1,Yes,60.0,Yes,169030.0,Master,No,No,No,0.269,2033,No,0
508,31,Female,China,AI,Civil,5,PartTime,2.42,2.68,1099,81,17,Yes,7802,OnCampus,29.1,80.7,14,Yes,1,Yes,3,0,Yes,12,No,1,No,108.0,No,206962.0,Bachelor,No,No,No,0.349,2032,Yes,33509
509,26,Female,USA,Computer Science,Robotics,4,FullTime,2.0,3.27,972,65,11,No,0,OffCampus,3.1,88.8,7,Yes,20,No,2,0,Yes,5,Yes,0,Yes,88.0,Yes,211201.0,Master,Yes,No,No,0.53,2029,Yes,96692
510,24,Female,Australia,Economics,Civil,1,FullTime,3.18,3.92,1367,9,14,Yes,21203,WithFamily,32.3,82.6,32,No,19,No,3,1,No,8,No,2,No,,No,160272.0,PhD,No,No,No,0.638,2031,No,0
511,21,Female,France,AI,Civil,3,PartTime,2.18,3.31,1204,23,20,Yes,40735,OffCampus,17.3,80.2,45,No,,Yes,3,2,Yes,13,Yes,1,Yes,81.0,Yes,29769.0,Master,Yes,No,No,0.806,2034,Yes,
512,29,Male,China,Physics,Statistics,3,FullTime,3.83,3.37,1334,171,9,Yes,16190,OffCampus,17.0,,18,Yes,19,Yes,0,1,No,10,No,0,Yes,116.0,No,250987.0,Master,Yes,No,No,0.388,2026,No,0
513,18,Male,Australia,AI,Finance,5,FullTime,2.95,2.69,1480,47,14,Yes,30352,WithFamily,12.6,95.1,43,Yes,22,No,4,5,No,9,No,1,Yes,116.0,Yes,295297.0,Master,No,No,No,0.319,2026,Yes,139697
514,25,Male,India,Mathematics,Robotics,2,FullTime,2.67,2.77,1523,81,10,No,0,WithFamily,46.5,95.3,6,Yes,26,Yes,1,6,Yes,5,Yes,2,No,72.0,Yes,239054.0,Bachelor,No,No,Yes,0.173,2027,No,0
515,32,Male,UAE,Business,Finance,3,PartTime,3.79,3.75,1178,67,18,No,0,OffCampus,28.9,90.1,13,Yes,23,No,2,6,No,2,No,3,Yes,69.0,No,184085.0,PhD,Yes,No,No,0.172,2034,Yes,65164
516,19,Male,Germany,Physics,Finance,4,PartTime,2.19,3.86,1377,160,12,No,0,OffCampus,1.7,71.6,23,No,4,Yes,3,0,No,9,No,0,Yes,80.0,No,23064.0,Master,No,No,No,0.0,2028,Yes,37033
517,24,Female,Canada,Engineering,Data Science,2,PartTime,2.41,3.64,1166,31,13,No,0,OnCampus,28.0,75.0,47,Yes,10,Yes,1,4,Yes,5,Yes,1,Yes,90.0,No,71575.0,HighSchool,No,Yes,No,0.055,2027,No,0
518,30,Female,Germany,Computer Science,Finance,5,FullTime,2.42,2.69,1319,105,10,Yes,1002,WithFamily,19.1,89.7,34,No,1,No,4,0,No,5,Yes,2,No,89.0,Yes,170823.0,HighSchool,No,No,No,0.056,2027,Yes,129310
519,34,Female,UAE,Physics,Statistics,2,PartTime,2.16,3.91,1228,143,15,No,0,OffCampus,32.5,58.2,35,Yes,29,No,3,6,No,9,Yes,2,Yes,76.0,Yes,184439.0,PhD,No,Yes,No,0.498,2028,Yes,114140
520,23,Female,Australia,Physics,Robotics,5,FullTime,2.39,3.34,1161,1,12,No,0,WithFamily,25.2,89.5,43,Yes,,No,3,5,No,9,Yes,0,Yes,81.0,No,64363.0,Master,Yes,Yes,No,0.137,2030,Yes,17035
521,23,Female,Brazil,Mathematics,Data Science,1,PartTime,3.73,3.15,1053,82,19,No,0,WithFamily,,90.1,27,Yes,,No,3,3,No,8,No,3,Yes,111.0,Yes,296718.0,Master,No,No,No,0.831,2026,No,0
522,29,Male,China,AI,Data Science,2,FullTime,3.01,2.48,1358,61,19,Yes,5915,OnCampus,40.2,77.1,32,Yes,8,No,1,6,No,3,Yes,1,No,107.0,No,56368.0,PhD,Yes,No,No,0.742,2026,No,
523,27,Male,UAE,Computer Science,Finance,4,FullTime,2.12,3.51,1234,90,17,No,,OffCampus,38.2,98.3,35,No,4,Yes,1,3,No,3,No,2,Yes,78.0,Yes,228958.0,HighSchool,No,No,No,0.551,2027,Yes,3691
524,33,Male,France,AI,Marketing,1,PartTime,3.64,3.96,1478,105,19,No,,OnCampus,37.5,84.4,12,No,,No,1,5,No,2,Yes,2,Yes,94.0,No,44533.0,Master,Yes,No,No,0.762,2031,Yes,72328
525,32,Female,USA,Physics,Robotics,1,FullTime,3.01,3.12,1543,141,19,Yes,27296,OffCampus,20.0,76.6,9,Yes,16,Yes,2,0,Yes,3,Yes,0,Yes,,Yes,137568.0,HighSchool,No,Yes,No,0.0,2028,No,0
526,19,Female,Germany,Mathematics,Finance,4,PartTime,3.14,3.57,1057,49,10,No,0,WithFamily,23.5,87.5,21,Yes,26,Yes,4,5,No,1,Yes,3,No,100.0,Yes,105774.0,Master,Yes,No,No,0.309,2027,No,0
527,26,Male,India,Computer Science,Robotics,2,PartTime,3.95,3.74,937,120,13,No,0,OnCampus,12.2,84.4,37,No,10,Yes,0,0,No,6,No,3,No,94.0,Yes,215409.0,PhD,Yes,No,Yes,0.585,2031,No,0
528,22,Female,Germany,Engineering,Statistics,2,PartTime,2.94,3.4,1044,128,18,Yes,35711,WithFamily,10.6,88.5,22,Yes,8,No,1,0,No,4,No,1,No,92.0,Yes,243700.0,Master,Yes,No,Yes,0.0,2034,Yes,66908
529,22,Male,France,Computer Science,Statistics,4,PartTime,2.29,3.9,1518,159,19,Yes,27312,OffCampus,7.3,80.7,,No,5,Yes,1,3,Yes,6,No,0,Yes,84.0,No,107733.0,HighSchool,No,No,No,0.655,2029,No,0
530,33,Male,India,Engineering,Marketing,5,PartTime,3.82,2.61,1509,95,17,No,0,OffCampus,31.5,93.5,,Yes,13,Yes,0,0,No,9,No,1,Yes,80.0,Yes,187698.0,Bachelor,No,No,No,0.63,2029,Yes,81878
531,30,Female,France,Mathematics,Data Science,2,FullTime,3.86,3.97,1276,52,11,No,0,OffCampus,50.3,100.0,27,No,29,No,4,6,Yes,13,No,0,Yes,81.0,Yes,231284.0,HighSchool,Yes,No,No,0.522,2028,No,0
532,33,Male,Australia,Engineering,Robotics,3,FullTime,2.09,2.52,,145,18,No,0,OnCampus,1.8,94.3,9,No,17,Yes,0,3,No,8,No,3,Yes,90.0,No,150389.0,PhD,No,No,No,0.52,2029,Yes,19164
533,26,Female,UAE,Engineering,Statistics,1,FullTime,3.93,2.48,1040,135,11,Yes,31352,OnCampus,45.4,93.0,26,Yes,21,No,3,5,Yes,6,No,2,Yes,104.0,Yes,213193.0,HighSchool,Yes,No,No,0.099,2028,Yes,
534,30,Male,France,AI,Finance,5,FullTime,3.68,3.16,1148,140,10,Yes,45731,WithFamily,10.0,67.2,,No,1,Yes,1,6,No,1,No,2,No,77.0,Yes,201889.0,,No,No,No,0.327,2027,Yes,28133
535,31,Female,China,Business,Robotics,1,FullTime,3.89,3.58,966,24,16,Yes,,OnCampus,25.8,71.4,18,No,,No,1,7,No,4,No,1,No,84.0,No,262977.0,Bachelor,No,No,No,0.288,2027,Yes,133217
536,20,Male,France,Mathematics,Statistics,1,PartTime,3.73,3.81,,93,13,Yes,30581,WithFamily,10.5,94.8,20,No,8,No,4,6,No,4,Yes,3,Yes,73.0,Yes,61321.0,,Yes,No,No,0.838,2028,No,0
537,18,Male,USA,Engineering,Marketing,2,PartTime,2.03,4.0,1310,23,14,No,0,OnCampus,46.5,96.1,12,Yes,12,Yes,3,7,Yes,9,No,1,No,81.0,Yes,64666.0,Bachelor,No,No,No,0.908,2032,No,0
538,30,Male,France,Business,Civil,1,FullTime,4.0,2.94,1384,1,11,Yes,,WithFamily,4.2,91.2,18,Yes,14,No,3,5,No,8,No,2,Yes,97.0,No,49819.0,HighSchool,No,No,No,0.206,2030,Yes,125915
539,31,Female,Canada,Economics,Robotics,1,PartTime,3.4,3.58,,61,13,No,0,OnCampus,9.9,68.3,48,Yes,19,No,0,4,No,8,No,2,No,70.0,No,274816.0,HighSchool,Yes,No,No,0.319,2028,Yes,99510
540,30,Male,China,Computer Science,Marketing,5,PartTime,3.62,3.47,929,108,17,No,0,OnCampus,34.5,78.0,21,Yes,25,Yes,1,2,Yes,8,No,3,No,60.0,Yes,244308.0,PhD,Yes,No,No,0.651,2031,Yes,8576
541,31,Female,UK,Computer Science,Statistics,5,FullTime,3.78,2.68,1469,33,15,Yes,9992,OnCampus,21.3,,18,No,0,No,0,5,Yes,3,No,1,Yes,76.0,Yes,52049.0,Master,Yes,No,No,0.565,2031,Yes,145507
542,22,Female,France,Computer Science,Statistics,4,FullTime,3.89,3.34,1540,154,13,Yes,40229,OnCampus,15.7,100.0,78,No,13,No,0,3,Yes,13,Yes,2,No,70.0,Yes,156115.0,,No,No,No,0.849,2029,Yes,35602
543,17,Female,Brazil,Physics,Marketing,2,PartTime,3.22,3.78,1108,28,9,No,0,OffCampus,18.4,81.9,49,Yes,5,No,1,7,Yes,7,Yes,1,Yes,76.0,No,243260.0,Bachelor,No,No,No,0.004,2031,No,
544,34,Male,China,Economics,Marketing,1,FullTime,3.43,3.97,1044,141,20,Yes,21131,OnCampus,24.9,94.5,16,Yes,23,Yes,1,7,No,3,No,2,Yes,109.0,Yes,74231.0,HighSchool,No,No,No,0.384,2033,No,0
545,33,Female,Brazil,Mathematics,Cybersecurity,4,FullTime,3.05,3.47,1265,30,16,Yes,9431,OffCampus,13.7,65.6,43,Yes,1,No,3,6,No,13,Yes,3,No,68.0,No,233998.0,HighSchool,No,No,No,0.191,2033,Yes,16577
546,24,Female,China,Economics,Data Science,4,PartTime,3.59,3.66,914,119,13,Yes,6242,OnCampus,3.0,84.6,46,Yes,6,Yes,4,0,Yes,14,Yes,3,Yes,109.0,Yes,273794.0,Bachelor,No,No,No,0.55,2033,Yes,116923
547,24,Male,Brazil,Economics,Statistics,1,PartTime,3.75,2.54,902,88,16,Yes,13637,WithFamily,11.1,,19,Yes,29,No,0,5,Yes,11,No,3,No,96.0,Yes,273459.0,Master,Yes,No,No,0.427,2029,Yes,32713
548,32,Male,UAE,AI,Marketing,2,FullTime,2.67,2.72,1220,176,16,No,0,WithFamily,30.8,86.3,28,Yes,,No,3,4,No,9,No,3,Yes,107.0,Yes,97172.0,HighSchool,Yes,No,No,0.173,2028,No,0
549,22,Female,India,AI,Statistics,2,FullTime,2.65,2.95,1462,2,9,No,0,WithFamily,3.4,,19,No,9,Yes,0,5,No,2,No,0,No,93.0,Yes,100249.0,PhD,No,No,No,0.023,2033,No,0
550,28,Female,USA,Physics,Finance,2,PartTime,3.48,4.0,1035,109,18,No,0,WithFamily,45.2,68.5,45,No,5,Yes,2,2,No,0,Yes,0,No,103.0,Yes,,Master,Yes,No,No,0.179,2032,Yes,
551,25,Male,India,Engineering,Statistics,4,FullTime,3.19,2.54,1377,61,20,Yes,,WithFamily,47.9,87.7,16,Yes,,Yes,0,7,Yes,13,No,0,Yes,74.0,Yes,246172.0,HighSchool,No,No,No,0.096,2032,Yes,
552,18,Female,UAE,Mathematics,Finance,5,PartTime,2.9,3.63,905,85,10,No,,WithFamily,14.5,91.7,8,No,29,No,4,6,No,2,Yes,3,Yes,116.0,No,217561.0,,Yes,No,No,0.523,2034,Yes,
553,22,Male,UAE,Mathematics,Finance,5,PartTime,3.86,2.6,1052,140,20,Yes,13898,WithFamily,45.6,71.6,25,No,20,No,1,7,No,12,No,0,No,104.0,No,,HighSchool,Yes,Yes,No,0.394,2031,Yes,35791
554,23,Male,USA,Computer Science,Cybersecurity,5,PartTime,3.17,3.29,,87,13,No,0,WithFamily,21.7,85.0,23,No,13,Yes,0,7,Yes,10,Yes,1,Yes,86.0,Yes,245033.0,HighSchool,Yes,No,No,0.563,2029,Yes,68982
555,24,Female,Germany,Business,Civil,5,PartTime,2.6,3.05,1025,171,20,Yes,2843,WithFamily,19.7,85.8,,Yes,11,No,0,2,Yes,8,No,0,Yes,114.0,Yes,,,Yes,No,No,0.466,2032,Yes,104548
556,33,Female,China,Business,Cybersecurity,5,FullTime,2.7,2.93,1398,167,14,Yes,,OnCampus,49.1,63.1,28,No,10,No,4,1,No,8,No,2,No,110.0,No,299991.0,,Yes,No,No,0.692,2026,Yes,44663
557,34,Female,UK,Economics,Finance,4,FullTime,3.55,3.92,1215,170,16,No,0,WithFamily,18.2,89.6,20,Yes,15,No,4,6,Yes,9,Yes,0,Yes,76.0,Yes,147288.0,HighSchool,Yes,Yes,No,0.573,2026,Yes,
558,19,Female,Australia,Computer Science,Civil,1,FullTime,3.16,3.83,1296,19,10,No,0,WithFamily,24.5,79.5,37,No,8,Yes,0,5,No,1,Yes,0,Yes,78.0,Yes,294632.0,Master,No,No,No,0.003,2027,Yes,118663
559,31,Male,UAE,Business,Finance,2,PartTime,3.51,3.49,1557,24,10,Yes,38450,OnCampus,38.9,100.0,5,No,9,Yes,3,5,No,2,Yes,1,Yes,66.0,Yes,193190.0,PhD,Yes,No,No,0.453,2027,Yes,36771
560,19,Male,France,Mathematics,Marketing,2,FullTime,2.06,3.33,1321,99,9,Yes,8997,WithFamily,38.4,88.3,,Yes,7,Yes,4,0,No,11,Yes,1,Yes,111.0,Yes,77898.0,Bachelor,Yes,Yes,No,0.331,2026,Yes,122187
561,18,Male,Germany,Mathematics,Robotics,1,FullTime,3.12,2.9,1230,17,10,Yes,16277,WithFamily,4.5,85.6,49,Yes,26,Yes,4,2,No,3,No,3,No,,Yes,293563.0,Bachelor,No,Yes,No,0.028,2032,No,
562,17,Male,UK,Engineering,Statistics,5,PartTime,2.35,4.0,1113,155,10,No,0,OffCampus,32.4,97.5,42,No,24,No,1,7,Yes,12,No,0,No,73.0,Yes,153588.0,HighSchool,Yes,No,Yes,0.625,2032,Yes,
563,28,Female,Germany,Mathematics,Finance,2,FullTime,2.64,2.61,1550,128,9,Yes,33635,OffCampus,6.8,68.8,27,No,24,No,1,4,No,3,Yes,1,Yes,107.0,No,138261.0,HighSchool,No,No,No,0.711,2026,Yes,41727
564,34,Female,UAE,Business,Statistics,1,PartTime,3.17,3.15,1087,122,18,No,,OnCampus,26.4,74.8,47,No,15,Yes,3,2,Yes,13,Yes,3,Yes,85.0,No,130378.0,HighSchool,Yes,No,No,0.366,2034,No,0
565,18,Female,Germany,Engineering,Civil,5,PartTime,3.36,2.7,970,16,19,Yes,11575,WithFamily,5.9,61.9,47,Yes,22,Yes,4,1,Yes,6,No,0,No,92.0,Yes,193507.0,Master,Yes,No,No,0.381,2028,Yes,89231
566,28,Female,Germany,Business,Cybersecurity,1,PartTime,3.55,3.6,1265,47,9,Yes,15471,OffCampus,30.4,,32,No,23,No,3,4,No,14,No,1,Yes,118.0,Yes,272916.0,HighSchool,Yes,Yes,No,0.453,2031,Yes,94233
567,32,Female,India,Computer Science,Marketing,5,PartTime,3.98,3.41,943,46,20,Yes,24588,OffCampus,27.3,69.7,37,No,5,No,1,6,No,3,Yes,0,No,100.0,No,,PhD,Yes,No,No,0.62,2032,Yes,4535
568,30,Male,Canada,Engineering,Data Science,1,FullTime,2.86,2.43,1284,53,16,No,0,OffCampus,0.9,99.2,29,Yes,14,No,0,6,No,7,Yes,0,No,71.0,No,40954.0,Master,No,No,No,0.967,2033,Yes,
569,24,Female,China,Business,Civil,3,PartTime,3.46,3.36,1388,151,14,Yes,36013,OffCampus,16.7,75.8,41,Yes,12,No,1,2,No,2,No,1,No,64.0,Yes,96996.0,PhD,Yes,No,No,0.123,2028,No,0
570,24,Male,USA,Physics,Marketing,2,FullTime,2.88,3.78,1510,173,19,Yes,,OnCampus,14.2,73.9,45,No,,Yes,1,6,Yes,12,Yes,2,No,104.0,Yes,233051.0,HighSchool,Yes,Yes,No,0.322,2027,No,0
571,30,Female,China,Economics,Marketing,4,PartTime,3.71,3.33,1307,131,20,Yes,,OffCampus,43.7,73.2,36,No,,No,2,4,Yes,7,No,3,Yes,95.0,No,188697.0,HighSchool,Yes,No,No,0.072,2031,Yes,43153
572,30,Female,Germany,Engineering,Finance,1,PartTime,2.39,2.66,933,70,11,No,0,OffCampus,47.4,85.3,35,Yes,29,No,2,6,Yes,13,No,0,Yes,66.0,Yes,153062.0,Master,Yes,No,No,0.222,2026,Yes,
